CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),hdi_rank,hdi,life_expenctancy,schooling_expected,mean_years_schooling,gni_per_capita
114,Montenegro,Montenegro,Europe,92,39,60.5,55.4,51.8,39.5,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75,50,2.6,9,9,36.1,47.4,Montenegro,0.6,$11.00 ,4.2,3.2,17736,16.1,2.4,545.9,67.5,50,0.814,77.3,14.9,11.3,16779
115,Morocco,Morocco,Middle East and North Africa,75,6,62.9,57.2,47.1,39.2,72.2,72.7,66.9,70.3,33.1,83.5,77.4,65,70,3.8,38,30,20.9,30.2,Morocco,34.9,$298.60 ,4.2,3.4,8567,9.3,0.8,"2,651.40",64.4,123,0.667,76.1,12.4,5.5,7340
116,Mozambique,Mozambique,Sub-Saharan Africa,163,40,48.6,33.9,35.2,28.1,75.5,66.9,16.6,57.1,42,65.4,78,35,50,3.5,32,32,20.2,33.2,Mozambique,29.5,$36.70 ,3,5.6,1244,25,15.3,"2,293.10",102.2,180,0.437,58.9,9.7,3.5,1093
117,Namibia,Namibia,Sub-Saharan Africa,99,10,58.7,55.9,54.7,49.8,66.5,48.9,15.7,65.8,85.1,74.4,83,65,40,1,37,34,28.6,41.3,Namibia,2.3,$26.50 ,-1.2,3.6,11312,23.3,6.1,416,46.1,129,0.647,64.9,12.3,6.8,9387
118,Nepal,Nepal,Asia-Pacific,136,34,53.8,39.2,34.7,26.2,84,83.7,98.5,61.8,47.9,69.4,60.4,10,30,12.3,25,25,18.7,23.3,Nepal,29.3,$78.60 ,7.5,4.3,2679,2.7,4.5,198,27.2,149,0.574,70.6,12.2,4.9,2471
119,Netherlands,Netherlands,Europe,13,5,76.8,88,74.7,89.1,51.6,42.9,93.3,81.4,60.3,84,86,90,80,2,52,25,38.8,43.6,Netherlands,17.1,$916.10 ,3.1,1.8,53635,4.8,1.3,"57,956.70",56.7,10,0.931,82,18,12.2,47900
120,New Zealand,NewZealand,Asia-Pacific,3,3,84.4,95,83.5,96.7,71,50.4,98.6,91,86.7,87.5,92.4,80,80,1.3,33,28,32.1,40.7,New Zealand,4.8,$188.60 ,3,3.3,38934,4.9,1.9,"3,572.00",26.4,16,0.917,82,18.9,12.5,33970
121,Nicaragua,Nicaragua,Americas,107,21,57.7,33.4,18.7,20.3,76.9,79.1,93.9,56,55.8,72.7,76,60,50,2,30,30,22.6,26.4,Nicaragua,6.2,$36.40 ,4.9,4.8,5849,4.4,3.9,896.6,33.6,124,0.658,75.7,12.1,6.7,5157
122,Niger,Niger,Sub-Saharan Africa,151,31,51.6,37.2,31,34.1,76.9,75.6,22.2,56.3,48.2,76.7,65.8,55,40,9.6,35,30,13.5,28.5,Niger,18.8,$21.80 ,5.2,5.4,1164,0.4,2.4,334.3,46.5,189,0.354,60.4,5.4,2,906
123,Nigeria,Nigeria,Sub-Saharan Africa,111,14,57.3,36.5,34.3,20.5,85,96.5,68.2,51.2,83.3,65,62.4,45,40,11.3,24,30,5.2,10.8,Nigeria,188.7,"$1,118.80 ",0.8,2.7,5929,7,16.5,"3,503.00",23.4,157,0.532,53.9,10,6.2,5231
124,Norway,Norway,Europe,26,15,73,86.1,81.2,92.3,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75,60,3.4,47.8,23,38,49.9,Norway,5.3,$380.00 ,1.8,1.6,71831,4.2,1.9,"-8,296.90",36.7,1,0.953,82.3,17.9,12.6,68012
125,Oman,Oman,Middle East and North Africa,88,7,61,58.1,51.6,53.8,97.8,32.5,16.1,75.2,57.3,77.7,87,65,60,1.5,0,12,8.5,47.4,Oman,4.1,$186.60 ,-0.3,2.7,45157,3.3,1.6,"1,867.40",44.2,48,0.821,77.3,13.9,9.5,36290
126,Pakistan,Pakistan,Asia-Pacific,131,32,55,41.5,40.2,30.6,80.5,87.6,49.2,56.1,41.8,72.6,64.8,55,40,10.1,30,30,12.4,20.3,Pakistan,197.3,"$1,057.00 ",5.3,4.3,5358,4,4.1,"2,806.00",67.2,150,0.562,66.6,8.6,5.2,5311
127,Panama,Panama,Americas,50,9,67.2,60.4,30.1,34.1,85,85.3,91.3,73.6,43.4,79.4,79.2,75,70,5.4,25,25,15.8,22.2,Panama,4.1,$103.90 ,5.4,5.8,25351,4.5,0.9,"5,319.20",38.2,66,0.789,78.2,12.7,10.2,19178
128,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,101,21,58.4,37.4,49,37.2,71.8,89.1,75.2,62.2,72.6,70,80.9,25,30,2,42,30,12.5,19.1,Papua New Guinea,8.3,$30.30 ,2.5,5.8,3675,2.7,5.2,-200.5,32.6,153,0.544,65.7,10,4.6,3403
129,Paraguay,Paraguay,Americas,85,18,61.8,39.5,30,25.5,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75,60,4.2,10,10,13,26.5,Paraguay,7,$68.30 ,4.3,6,9826,4.6,3.6,355.8,25.6,110,0.702,73.2,12.7,8.4,8380
130,Peru,Peru,Americas,45,7,67.8,56.1,34,31.8,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75,60,1.8,30,28,16,21.5,Peru,31.8,$424.40 ,2.5,3.6,13334,3.6,2.8,"6,769.50",25.5,89,0.75,75.2,13.8,9.2,11789
131,Philippines,Philippines,Asia-Pacific,70,15,63.8,48.7,36.4,30.9,76.9,88.7,97.1,61.3,57.9,69.6,78.2,60,60,3.4,35,30,13.7,19.4,Philippines,105.3,$875.60 ,6.7,6.6,8315,2.4,3.2,"9,524.30",37.8,113,0.699,69.2,12.6,9.3,9154
132,Poland,Poland,Europe,46,23,67.8,62.3,44,49.8,74.9,48.8,86.4,65.4,63.9,82.1,86,80,70,2,32,19,33.6,41.3,Poland,38,"$1,121.00 ",4.6,3.2,29521,4.9,2,"6,433.50",51.4,33,0.865,77.8,16.4,12.3,26150
133,Portugal,Portugal,Europe,62,30,65.3,71.5,64.3,59.5,59.9,35.6,69.8,79.7,44.3,83,86,70,60,2,48,23,34.4,46.3,Portugal,10.3,$313.40 ,2.7,1.2,30417,8.9,1.6,"6,945.60",125.6,41,0.847,81.4,16.3,9.2,27315
134,Qatar,Qatar,Middle East and North Africa,28,3,72.6,64.5,60,77.4,99.7,56.8,94,71.2,65.9,78.4,83.2,60,60,3.4,0,0,5.7,37.9,Qatar,2.7,$340.60 ,2.1,3.3,124529,0.1,0.4,986,54,37,0.856,78.3,13.4,9.8,116818
135,Romania,Romania,Europe,42,21,68.6,66.7,51.9,39.8,89.7,69,89.3,63.1,64.5,82.7,86,70,50,2,10,16,26,32.1,Romania,19.6,$481.50 ,7,4.5,24508,4.9,1.3,"5,160.00",36.9,52,0.811,75.6,14.3,11,22646
136,Russia,Russia,Europe,98,41,58.9,52.4,45.1,36.6,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30,30,3.6,13,20,22.2,35.4,Russia,144,"$4,007.80 ",1.5,0.3,27834,5.2,3.7,"25,284.00",17.4,49,0.816,71.2,15.5,12,24233
137,Rwanda,Rwanda,Sub-Saharan Africa,32,2,71.1,72.2,83.2,67.9,79.8,79.4,86.3,56.2,82.2,76.1,70.4,60,40,7.3,30,30,15,26.2,Rwanda,11.8,$24.60 ,6.1,6.7,2080,1.3,4.8,366.2,40.6,158,0.524,67.5,11.2,4.1,1811
138,Saint Lucia,SaintLucia,Americas,38,4,68.7,65.9,63.8,50.3,76.2,79.3,81.3,76.3,69.2,83.9,73.2,65,40,5.9,30,30,24,26.3,Saint Lucia,0.2,$2.50 ,3,1.9,14450,21,0.1,92.4,71.3,90,0.747,75.7,13.6,8.9,11695
139,Saint Vincent and the Grenadines,SaintVincentGrenadines,Americas,55,10,65.8,36.5,63.8,50.5,71.2,74.3,85,76.5,73.5,82.2,66.6,70,40,9.2,32.5,33,27.1,29.3,Saint Vincent and the Grenadines,0.1,$1.30 ,1,1.1,11491,18.3,2,87.1,80.8,99,0.723,73.3,13.3,8.6,10499
140,Samoa,Samoa,Asia-Pacific,82,19,62.2,53.8,31,37.7,79.9,62.3,93.6,77,78.2,83.5,63.8,55,30,10.6,27,27,23.6,35.5,Samoa,0.2,$1.10 ,2.4,2.1,5740,8.2,1.3,9,49.1,104,0.713,75.2,12.5,10.3,5909
141,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,134,24,54,37.4,26.6,35.5,87.2,67,62.3,65.1,42.7,70.5,64.2,60,30,10.4,20,25,15.9,33.2,São Tomé and Príncipe,0.2,$0.70 ,4,4.1,3180,13.5,5.5,41,83.3,143,0.589,66.8,12.5,6.3,2941
142,Saudi Arabia,SaudiArabia,Middle East and North Africa,91,9,60.7,55,62.7,49.8,99.8,57.5,19.4,72.3,63.3,78.1,76,45,50,4.5,2.5,2.5,3.4,37.6,Saudi Arabia,32.4,"$1,773.60 ",-0.7,2.3,54777,5.5,-0.9,"1,421.00",17.3,39,0.853,74.7,16.9,9.5,49680
143,Senegal,Senegal,Sub-Saharan Africa,117,16,56.3,47.8,40.4,40.3,70.8,73.3,60,53.3,39.4,78.2,72,60,40,9,40,30,20.4,29.8,Senegal,15.9,$43.20 ,7.2,5.6,2727,4.9,1.4,532.3,61.2,164,0.505,67.5,9.7,3,2384
144,Serbia,Serbia,Europe,69,34,63.9,50.1,44.8,37.2,82,45.1,90.1,72.9,67.4,80,77,70,50,6.5,10,15,38.4,42.8,Serbia,7,$105.50 ,1.8,1.2,15000,14.1,3.1,"2,866.70",61.5,67,0.787,75.3,14.6,11.1,13019
145,Seychelles,Seychelles,Sub-Saharan Africa,87,6,61.4,58.2,37.5,39.2,76.3,60.3,92,63.3,63.2,80,81.4,55,30,4.3,15,33,32.6,36.4,Seychelles,0.1,$2.70 ,4.2,4.9,28779,N/A,2.9,191.9,63.3,62,0.797,73.7,14.8,9.5,26077
146,Sierra Leone,SierraLeone,Sub-Saharan Africa,167,42,47.5,35.5,34.5,26.2,87.3,84.4,13.2,44.9,29.3,65,69.4,60,20,10.3,15,30,12.2,22.8,Sierra Leone,7.4,$11.50 ,3.5,2.9,1553,4.5,18,560,58.4,184,0.419,52.2,9.8,3.5,1240
147,Singapore,Singapore,Asia-Pacific,2,2,89.4,97.4,92.4,95.1,90.4,90.7,80,90.8,91,85.3,94.8,85,80,0.1,22,17,13.7,17.6,Singapore,5.6,$527.00 ,3.6,3.5,93906,2,0.6,"62,006.00",110.9,9,0.932,83.2,16.2,11.5,82503
148,Slovakia,Slovakia,Europe,65,32,65,68.5,37.2,37.7,78.6,46.1,87.2,61.3,53.4,78.6,86,75,70,2,25,21,32.7,42.4,Slovak Republic,5.4,$179.40 ,3.4,3,33025,8.1,1.3,"2,276.70",50.4,38,0.855,77,15,12.5,29467
149,Slovenia,Slovenia,Europe,58,29,65.5,76.4,46.5,53.6,58.4,38.3,82.6,79.3,61.2,83.6,86,70,50,2,50,17,37,45.4,Slovenia,2.1,$71.10 ,5,2.5,34407,6.6,1.4,702,75.4,25,0.896,81.1,17.2,12.2,30594
150,Solomon Islands,SolomonIslands,Asia-Pacific,133,33,54.6,49.9,51.7,33.5,65.5,36.5,89.4,68.6,72,86,56.8,15,30,14.1,40,30,30.8,46,Solomon Islands,0.6,$1.30 ,3.2,2.9,2157,2.1,-0.4,36.5,10,152,0.546,71,10.2,5.5,1872
151,South Africa,SouthAfrica,Sub-Saharan Africa,102,11,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76,45,50,4.5,45,28,31.3,32.8,South Africa,56.5,$765.60 ,1.3,1.5,13545,27.3,5.3,"1,324.70",52.7,113,0.699,63.4,13.3,10.1,11923
152,Spain,Spain,Europe,57,28,65.7,72.9,51.4,51.9,62.3,46.2,51.1,66.8,57.8,87.5,86,85,70,2,45,25,33.5,42.3,Spain,46.3,"$1,773.90 ",3.1,1.9,38286,17.2,2,"19,086.10",98.4,26,0.891,83.3,17.9,9.8,34258
153,Sri Lanka,SriLanka,Asia-Pacific,115,25,56.4,44.7,39.4,28.9,84.9,88.3,30.4,75.1,58.8,70.1,76.2,40,40,4.4,24,28,12.3,19.8,Sri Lanka,21.4,$274.70 ,3.1,4.2,12811,4.1,6.5,"1,374.90",79.4,76,0.77,75.5,13.9,10.9,11326
154,Sudan,Sudan,Sub-Saharan Africa,166,41,47.7,27.5,22.2,26.2,86.3,96.6,76.1,52.1,59,56.9,45,5,20,17.5,10,35,6.7,10.6,Sudan,40.8,$187.00 ,3.2,3,4586,12.7,32.4,"1,065.30",126,167,0.502,64.7,7.4,3.7,4119
155,Suriname,Suriname,Americas,165,28,48.1,49.1,22.2,35.5,70.9,77.2,9.6,48.3,73.5,56,64.6,40,30,10.2,38,36,13.2,27.6,Suriname,0.6,$8.50 ,0,-0.9,14606,8.1,22,-87.3,72.1,100,0.72,71.5,12.7,8.5,13306
157,Sweden,Sweden,Europe,19,10,75.2,89.5,84,88,43.2,26.7,96.6,88,53.9,82,86,85,80,2,57,22,44.1,49.4,Sweden,10.1,$520.90 ,2.4,2.8,51475,6.7,1.9,"15,395.70",40.9,7,0.933,82.6,17.6,12.4,47766
158,Switzerland,Switzerland,Europe,4,1,81.9,85.3,82,88,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85,90,1.3,40,24,27.8,34.3,Switzerland,8.4,$517.20 ,1.1,1.6,61422,4.8,0.5,"40,986.10",42.8,2,0.944,83.5,16.2,13.4,57625
159,Syria,Syria,Middle East and North Africa,N/A,N/A,N/A,37,24.4,20.3,N/A,N/A,N/A,49.6,58.2,48.3,47,0,N/A,16.5,22,28,N/A,N/A,Syria,18.4,N/A,N/A,N/A,N/A,14.9,N/A,N/A,N/A,155,0.536,71,8.8,5.1,2337
161,Tajikistan,Tajikistan,Asia-Pacific,122,28,55.6,47.8,52.1,36.4,91.8,64.6,60.3,67.3,49.2,68.5,73.6,25,30,5.7,13,15,20.6,34.3,Tajikistan,8.8,$28.40 ,7.1,6.8,3212,10.3,7.3,141.3,47.8,127,0.65,71.2,11.2,10.4,3317
162,Tanzania,Tanzania,Sub-Saharan Africa,94,7,60.2,35.4,41.4,33.2,80.5,90.3,85.2,46.6,66.2,70.4,67.8,55,50,8.6,30,30,12.4,18,Tanzania,50,$162.20 ,6,6.8,3240,2.2,5.3,"1,180.40",38.2,154,0.538,66.3,8.9,5.8,2655
163,Thailand,Thailand,Asia-Pacific,43,10,68.3,53.7,45.9,36.4,81.3,85.8,96.5,82.5,63.9,75.2,83,55,60,3.5,35,20,15.6,21.8,Thailand,69.1,"$1,233.70 ",3.9,2.8,17856,1.1,0.7,"7,635.20",41.9,83,0.755,75.5,14.7,7.6,15516
164,Timor-Leste,TimorLeste,Asia-Pacific,172,42,44.2,29.7,13.1,32.1,96.3,0.9,20,60.5,58.8,79.5,75,45,20,2.5,10,10,13.1,57.5,Timor-Leste,1.2,$6.80 ,-0.5,3.1,5444,3.4,0.6,6.7,0,132,0.625,69.2,12.8,4.5,6846
165,Togo,Togo,Sub-Saharan Africa,158,35,50.3,35.5,29.6,28.1,67.8,77,24.5,50.4,46.7,79.1,69.4,65,30,10.3,45,27,21.5,27.7,Togo,7.8,$12.90 ,4.4,5.5,1659,1.8,-0.7,145.6,78.6,165,0.503,60.5,12.4,4.8,1453
166,Tonga,Tonga,Asia-Pacific,108,23,57.7,59.2,26.6,38.1,85.5,40.9,93.4,75.3,69.9,69.4,73.6,40,20,5.7,20,25,20.7,44.4,Tonga,0.1,$0.60 ,3.1,2.4,5608,1.1,8,13.8,48,98,0.726,73.2,14.3,11.2,5547
167,Trinidad and Tobago,TrinidadTobago,Americas,112,22,57,52.3,40.6,32.9,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60,50,8.3,25,25,22.8,35.7,Trinidad and Tobago,1.4,$43.00 ,-2.6,-1.3,31367,4.8,1.9,178.7,41.3,69,0.784,70.8,12.9,10.9,28622
168,Tunisia,Tunisia,Middle East and North Africa,125,10,55.4,49.2,42.7,36.6,74.4,74.4,37.9,76.7,50.3,76,71.4,45,30,9.3,35,30,20.8,29.2,Tunisia,11.5,$135.40 ,1.9,1.7,11755,15.4,5.3,879.5,71.3,95,0.735,75.9,15.1,7.2,10275
169,Turkey,Turkey,Europe,68,33,64.6,55.8,49.8,41.2,76.4,65.1,92.2,66,49.2,70,79.6,70,60,2.7,35,22,25.5,34.1,Turkey,80.8,"$2,173.20 ",7,6,26893,11.3,11.1,"10,864.00",28.5,64,0.791,76,15.2,8,24804
170,Turkmenistan,Turkmenistan,Asia-Pacific,164,40,48.4,31.6,29.8,20.3,95.9,92,92.3,30,20,73.4,76,10,10,2,10,8,15.6,16.4,Turkmenistan,5.7,$103.50 ,6.5,7.9,18126,3.4,8,"2,313.50",28.8,108,0.706,68,10.8,9.8,15594
171,Uganda,Uganda,Sub-Saharan Africa,95,8,59.7,42.2,38.5,25.4,73.3,88.7,68.6,46.3,83.2,80.1,75.4,55,40,7.3,40,30,12.9,19.4,Uganda,37.7,$88.70 ,4.5,4.3,2354,2.1,5.6,699.7,39,162,0.516,60.2,11.6,6.1,1658
172,Ukraine,Ukraine,Europe,147,44,52.3,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75,35,30,2.5,20,18,33.1,42.1,Ukraine,42.3,$368.80 ,2.5,-2.3,8713,9.5,14.4,"2,202.00",75.6,88,0.751,72.1,15,11.3,8130
173,United Arab Emirates,UnitedArabEmirates,Middle East and North Africa,9,1,77.6,81.8,87.1,78.8,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40,60,2.8,0,0,8.9,32.3,United Arab Emirates,10.1,$686.80 ,0.5,3.3,67741,1.7,2,"10,354.20",19.5,34,0.863,77.4,13.6,10.8,67805
174,United Kingdom,UnitedKingdom,Europe,7,3,78.9,92.3,85.9,83.8,64.7,48.2,68.6,92.9,73.5,81.2,86,90,80,2,45,20,33.2,41.6,United Kingdom,66.1,"$2,914.00 ",1.8,2.2,44118,4.3,2.7,"15,090.00",87,14,0.922,81.7,17.4,12.9,39116
175,United States,UnitedStates,Americas,12,2,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80,1.7,37,21,26,37.8,United States,325.9,"$19,390.60 ",2.3,2.2,59501,4.4,2.1,"275,381.00",107.8,13,0.924,79.5,16.5,13.4,54941
176,Uruguay,Uruguay,Americas,40,6,68.6,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85,30,5.7,30,25,27.4,32.9,Uruguay,3.5,$78.10 ,3.1,2.6,22371,7.9,6.2,-124.6,66.2,55,0.804,77.6,15.9,8.7,19930
177,Uzbekistan,Uzbekistan,Asia-Pacific,140,36,53.3,49.8,34.3,25.2,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10,10,8.7,22,7.5,18.2,33,Uzbekistan,32.1,$222.60 ,5.3,7.4,6929,7.2,12.5,95.8,24.5,105,0.71,71.4,12,11.5,6470
178,Vanuatu,Vanuatu,Asia-Pacific,116,26,56.4,65.9,36.4,51.9,97.3,54.1,15.3,52.4,58.8,75,64.4,65,40,7.8,0,0,16.3,39.1,Vanuatu,0.3,$0.80 ,4.2,2.4,2739,5.2,3.1,24.7,48.4,138,0.603,72.3,10.9,6.8,2995
179,Venezuela,Venezuela,Americas,179,32,25.9,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28,0,60,0,10,10,34,34,14.9,37.4,Venezuela,31.4,$380.70 ,-14,-7.8,12114,7.7,1087.5,-68,34.9,78,0.761,74.7,14.3,10.3,10672
180,Vietnam,Vietnam,Asia-Pacific,128,30,55.3,49.8,40.3,34,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30,40,2.9,35,22,18,29.4,Vietnam,93.6,$647.40 ,6.8,6.2,6913,2.1,3.5,"14,100.00",58.2,116,0.694,76.5,12.7,8.2,5859
181,Yemen,Yemen,Middle East and North Africa,N/A,N/A,N/A,19.6,22.2,20.3,N/A,83.7,0,45.1,49.8,61.5,71.4,50,N/A,4.3,N/A,N/A,N/A,N/A,Yemen,30,$38.60 ,-13.8,-16.1,1287,14,4.9,-269.9,141,178,0.452,65.2,9,3,1239
182,Zambia,Zambia,Sub-Saharan Africa,138,27,53.6,45,35.6,32.3,72.3,80.1,12.3,71.1,46,70.3,72.6,55,50,6.2,35,35,17.9,25.8,Zambia,17.2,$68.90 ,3.6,4,3996,7.8,6.6,"1,091.20",62.2,144,0.588,62.3,12.5,7,3557
183,Zimbabwe,Zimbabwe,Sub-Saharan Africa,175,45,40.4,29.7,24.8,15.8,62.3,74.5,23.7,33.4,43.3,72.4,70,25,10,5,51.5,25,22.3,29.2,Zimbabwe,14.9,$34.00 ,3,2.6,2283,5,1.3,289.4,78.4,156,0.535,61.7,10.3,8.1,1683
