CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),hdi_rank,hdi,life_expenctancy,schooling_expected,mean_years_schooling,gni_per_capita
45,Denmark,Denmark,Europe,14,6,76.7,86.2,77.8,85.8,42,14.4,96.7,90.7,86.4,84.1,86,90,80,2,56,23.5,45.9,53.4,Denmark,5.7,$286.80 ,2.1,1.6,49883,5.7,1.1,"-3,114.70",36.4,11,0.929,80.9,19.1,12.6,47918
46,Djibouti,Djibouti,Sub-Saharan Africa,169,43,47.1,29.7,18.1,28.1,76.2,27.3,18.1,54.7,60.4,72.7,50.4,80,50,17.3,30,25,29.2,49.2,Djibouti,1,$3.60 ,6.7,6.1,3559,5.8,0.7,165,30.6,172,0.476,62.6,6.2,4.1,3392
47,Dominica,Dominica,Americas,72,14,63.6,49.2,63.8,54.5,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70,30,8.4,35,30,25.8,39.4,Dominica,0.1,$0.80 ,-4.2,0,11102,N/A,0.6,18.9,87.6,103,0.715,78,12.7,7.8,8344
48,Dominican Republic,DominicanRepublic,Americas,89,19,61,50.6,18.1,23.2,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70,40,4.6,25,27,13.6,17.9,Dominican Republic,10.2,$172.40 ,4.6,6.1,16944,5.5,3.3,"3,570.00",37.7,94,0.736,74,13.7,7.8,13921
49,Ecuador,Ecuador,Americas,170,29,46.9,35.9,20.2,25.3,77,55.5,32.1,54.1,48.2,73.5,66.4,35,40,6.8,35,25,21.2,38.5,Ecuador,16.8,$192.60 ,2.7,2,11482,3.8,0.4,606.4,45,86,0.752,76.6,14.7,8.7,10347
50,Egypt,Egypt,Middle East and North Africa,144,11,52.5,37,48.3,29.2,85.2,68.1,0,65.9,51.6,62.3,71.8,60,50,6.6,25,23,18,32.6,Egypt,94.8,"$1,201.20 ",4.2,3.8,12671,12.1,23.5,"7,391.70",103.3,115,0.696,71.7,13.1,7.2,10355
51,El Salvador,ElSalvador,Americas,84,17,61.8,37.6,29.1,23.4,78.1,86.3,81.9,57.2,53.1,79,81.4,75,60,1.8,30,30,19.7,21.4,El Salvador,6.4,$57.00 ,2.4,2.1,8948,4.5,1,791.9,59.3,121,0.674,73.8,12.6,6.9,6868
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,174,44,41,29.7,18.1,15.8,71.3,67.6,16.4,37.6,32.7,83.7,48.8,40,30,15.6,35,35,20.4,32.8,Equatorial Guinea,0.8,$30.40 ,-4.4,-5.6,36017,6.9,0.7,304.1,42.7,141,0.591,57.9,9.3,5.5,19513
53,Eritrea,Eritrea,Sub-Saharan Africa,177,47,38.9,35.5,18.1,19.7,81.4,73.9,0,17.7,70,61,69.2,0,20,5.4,30,30,8,29.5,Eritrea,5.9,$9.40 ,5,3.4,1581,6.4,9,55.5,131.2,179,0.44,65.5,5.4,4,1750
54,Estonia,Estonia,Europe,15,7,76.6,81.5,76,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86,90,70,2,20,20,34.7,40.4,Estonia,1.3,$41.60 ,4.9,2.7,31750,5.8,3.7,784.4,8.8,30,0.871,77.7,16.1,12.7,28993
156,Eswatini,Eswatini,Sub-Saharan Africa,132,23,54.7,41.7,42.9,35,74.8,65.6,18.3,59.2,67.5,73.7,87.6,50,40,1.2,33,28,25.5,33.9,Eswatini,1.1,$11.30 ,0.2,2,9884,26.4,6.3,-136.8,29.2,144,0.588,58.3,11.2,6.5,7620
55,Ethiopia,Ethiopia,Sub-Saharan Africa,137,26,53.6,32.6,40.9,35.1,77.2,90.4,83.3,48.6,58,60.8,60.8,35,20,12.1,35,30,12.4,17.9,Ethiopia,92.7,$200.20 ,10.9,9.9,2161,5.2,9.9,"3,586.40",56.2,173,0.463,65.9,8.5,2.7,1719
56,Fiji,Fiji,Asia-Pacific,81,18,62.2,67.3,42.9,23.4,81.1,71.7,82.4,63,72.9,73.5,62.8,55,50,11.1,29,20,25.5,30.7,Fiji,0.9,$8.70 ,3.8,3.7,9777,6.3,3.4,299,46.6,92,0.741,70.4,15.3,10.8,8324
57,Finland,Finland,Europe,20,11,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86,85,80,2,31.3,20,44.1,55.6,Finland,5.5,$244.00 ,3,0.8,44333,8.6,0.8,"1,327.90",61.4,15,0.92,81.5,17.6,12.4,41002
58,France,France,Europe,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,France,64.8,"$2,835.80 ",1.8,1.1,43761,9.4,1.2,"49,794.90",97,24,0.901,82.7,16.4,11.5,39254
59,Gabon,Gabon,Sub-Saharan Africa,118,17,56.3,28.1,30.6,35.5,75.8,86.6,82.1,52.1,53,80,51.2,60,40,16.9,35,30,17.3,21.1,Gabon,1.9,$36.70 ,0.8,3.4,19254,19.7,3,"1,498.00",61.1,110,0.702,66.5,12.8,8.2,16431
60,Gambia,Gambia,Sub-Saharan Africa,146,30,52.4,39.9,42.5,41.2,74.3,70.7,0,54,67.4,62.4,61.6,65,50,14.2,35,32,17.9,31.3,Gambia,2.1,$3.60 ,3.5,3.1,1713,9.5,8,87.5,123.2,174,0.46,61.4,9.2,3.5,1516
61,Georgia,Georgia,Europe,16,8,75.9,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76,88.6,80,70,0.7,20,15,25.8,29.6,Georgia,3.7,$39.70 ,4.8,3.7,10747,11.6,6,"1,861.90",44.9,70,0.78,73.4,15,12.8,9186
62,Germany,Germany,Europe,24,14,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86,80,70,2,47.5,15.8,37.6,43.9,Germany,82.7,"$4,170.80 ",2.5,1.7,50425,3.8,1.7,"34,726.30",64.1,5,0.936,81.2,17,14.1,46136
63,Ghana,Ghana,Sub-Saharan Africa,109,13,57.5,49.1,44.2,35.5,78.8,82,23.9,56.5,59.9,66.3,63.4,70,60,10.8,35,25,16.5,24.5,Ghana,28.3,$133.70 ,8.4,5.5,4729,2.4,12.4,"3,255.00",71.8,140,0.592,63,11.6,7.1,4096
64,Greece,Greece,Europe,106,43,57.7,52.4,49.5,37.7,59.1,23.3,79,74.1,52.5,79.1,81,55,50,2,42,29,38.6,50.6,Greece,10.8,$298.70 ,1.4,-0.3,27737,21.5,1.1,"4,046.00",181.9,31,0.87,81.4,17.3,10.8,24648
65,Guatemala,Guatemala,Americas,77,16,62.6,40.3,32.3,26.4,79.2,95.6,96.2,53.6,48.7,77,82.2,70,50,1.4,31,31,12.6,12.1,Guatemala,16.9,$137.80 ,2.8,3.6,8145,2.7,4.4,"1,146.70",24.4,127,0.65,73.7,10.8,6.5,7278
66,Guinea,Guinea,Sub-Saharan Africa,120,19,55.7,34.7,32.6,25.5,69.4,89.8,87.2,54.6,54.9,66.4,63.2,50,40,10.9,40,35,15.3,18.4,Guinea,13,$26.50 ,6.7,4.9,2041,4.5,8.9,576.5,39.7,175,0.459,60.6,9.1,2.6,2067
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,135,25,54,32.6,42.9,25.3,88.8,86.7,81.4,35.9,61.2,78.1,55.6,30,30,12.2,20,25,9.6,21,Guinea-Bissau,1.7,$3.10 ,5.5,4.3,1845,6.1,1.1,16.6,42,177,0.455,57.8,10.5,3,1552
68,Guyana,Guyana,Americas,113,23,56.8,41.7,42.9,33.2,67,69.4,77.6,59.3,62,76.9,66.8,55,30,6.6,33.3,40,24.4,32,Guyana,0.8,$6.30 ,2.1,3.5,8161,12,2.1,212.2,50.7,125,0.654,66.8,11.4,8.4,7447
69,Haiti,Haiti,Americas,143,25,52.7,10.4,25.3,20.3,79.9,88.3,95.9,36.2,62.6,66.5,72,45,30,6.5,30,30,14.5,19.7,Haiti,11,$19.90 ,1.2,2.2,1815,14,14.7,374.9,31.1,168,0.498,63.6,9.3,5.3,1665
70,Honduras,Honduras,Americas,93,20,60.2,43.4,31,25.3,82.8,78.2,95.9,56.9,32,73,79.4,65,60,2.8,25,25,21.6,27,Honduras,8.3,$46.20 ,4.8,3.6,5562,4.5,3.9,"1,185.70",43.9,133,0.617,73.8,10.2,6.5,4215
71,Hong Kong,HongKong,Asia-Pacific,1,1,90.2,93.3,75.3,83.8,93.1,90.3,100,96.4,89.2,86.4,95,90,90,0,15,16.5,14,17.9,Hong Kong SAR,7.4,$454.90 ,3.8,2.8,61393,3.1,1.5,"104,333.00",0.1,7,0.933,84.1,16.3,12,58420
72,Hungary,Hungary,Europe,64,31,65,60.9,45.2,35.3,78.6,31.7,85,61.1,64.7,81.8,86,80,70,2,15,19,39.4,47.7,Hungary,9.8,$289.00 ,4,3.2,29474,4.2,2.4,"2,491.60",69.9,45,0.838,76.1,15.1,11.9,25393
73,Iceland,Iceland,Europe,11,4,77.1,87.4,63.8,83.8,72.7,44,96.7,88.4,64.1,81.7,87,85,70,1.5,31.8,20,36.4,43.2,Iceland,0.3,$17.60 ,3.6,4.4,51842,2.8,1.8,-5.4,40.9,6,0.935,82.9,19.3,12.4,45810
74,India,India,Asia-Pacific,129,31,55.2,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40,40,6.3,30.9,32.4,7.2,27.5,India,1316.9,"$9,459.00 ",6.7,7.2,7183,3.5,3.6,"39,916.10",70.2,130,0.64,68.8,12.3,6.4,6353
75,Indonesia,Indonesia,Asia-Pacific,56,11,65.8,52.2,53.5,39.5,83.7,91.4,88.1,69.3,49.3,77.4,79.8,45,60,2.6,30,25,10.4,16.9,Indonesia,262,"$3,242.80 ",5.1,5.1,12377,4.2,3.8,"23,063.10",28.9,116,0.694,69.4,12.8,8,10846
76,Iran,Iran,Middle East and North Africa,155,13,51.1,33.5,41.3,35,80.9,89.8,89.5,62.2,50.7,60.1,54.6,5,10,15.2,35,25,8,18.5,Iran,81.4,"$1,644.70 ",4.3,3.6,20200,12.5,9.9,"5,019.00",40.9,60,0.798,76.2,14.9,9.8,19130
77,Iraq,Iraq,Middle East and North Africa,N/A,N/A,N/A,37,12.3,20.3,N/A,52.8,13.3,54.4,53.1,81.4,N/A,N/A,N/A,N/A,15,15,N/A,39.7,Iraq,38.9,$658.80 ,-0.8,4.7,16954,8.2,0.1,"-5,032.40",58,120,0.685,70,11,6.8,17789
78,Ireland,Ireland,Europe,6,2,80.5,85.8,68.4,78,76.3,77.4,89,83.1,75.3,87,86,90,70,2,41,12.5,23,27.4,Ireland,4.7,$357.20 ,7.8,9.7,75538,6.4,0.3,"28,974.60",68.5,4,0.938,81.6,19.6,12.5,53754
79,Israel,Israel,Middle East and North Africa,27,2,72.8,80,73.4,67.9,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75,70,2.8,48,23,31.2,39.8,Israel,8.7,$316.50 ,3.3,3.5,36340,4.3,0.2,"18,954.00",61,22,0.903,82.7,15.9,13,32711
80,Italy,Italy,Europe,80,36,62.2,71.7,49.8,43.7,55.6,26.5,71.3,71.7,51.1,84,86,85,50,2,43,27.5,42.9,49.5,Italy,60.6,"$2,310.90 ",1.5,0.3,38140,11.2,1.3,"17,077.10",131.5,28,0.88,83.2,16.3,10.2,35299
81,Jamaica,Jamaica,Americas,39,5,68.6,60.7,49.2,45,80.2,76,80,78,73.6,82.6,68.4,80,50,10.8,25,25,27.1,28.3,Jamaica,2.8,$26.10 ,1,0.8,9163,12.5,4.4,888,104.1,97,0.732,76.1,13.1,9.8,7846
82,Japan,Japan,Asia-Pacific,30,8,72.1,84.1,68.5,78,68.2,55,55.7,80.5,79,85.9,80,70,60,2.5,40.8,23.9,30.7,38.7,Japan,126.7,"$5,428.80 ",1.7,1.3,42832,2.8,0.5,"10,429.80",236.4,19,0.909,83.9,15.2,12.8,38986
83,Jordan,Jordan,Middle East and North Africa,53,4,66.5,58.4,52.6,50.3,91.4,73.4,60.6,61.8,52.7,85,81.4,70,60,4.3,14,20,16.3,29.8,Jordan,7.1,$89.10 ,2.3,2.5,12494,14.9,3.3,"1,664.80",95.6,95,0.735,74.5,13.1,10.4,8288
84,Kazakhstan,Kazakhstan,Asia-Pacific,59,12,65.4,59.3,56.1,40.3,93.4,83.7,41,73.9,86.2,70.9,80,50,50,2.5,10,20,12.8,23.3,Kazakhstan,18.2,$477.60 ,4,3.3,26252,4.9,7.4,"4,633.70",21.2,58,0.8,70,15.1,11.8,22626
85,Kenya,Kenya,Sub-Saharan Africa,130,22,55.1,53.8,46.9,32.1,79.5,77.8,13.8,55.8,63.4,72.7,60.4,55,50,12.3,30,30,15.7,27.2,Kenya,46.7,$163.10 ,4.8,5.5,3491,11.5,8,671.7,55.6,142,0.59,67.3,12.1,6.5,2961
86,Kiribati,Kiribati,Asia-Pacific,168,41,47.3,44.1,34.3,35.1,73,0,98.6,41.9,50.7,81.1,53.2,25,30,15.9,35,35,15.7,117.9,Kiribati,0.1,$0.20 ,3.1,3.6,1976,N/A,2.2,1.4,26.3,134,0.612,66.5,12.9,7.9,3042
87,"Korea, North ",NorthKorea,Asia-Pacific,180,43,5.9,31.6,5,24.4,0,0,0,5,5,0,0,0,0,50,N/A,N/A,N/A,100,"Korea, North ",25.4,$40.0 (2015 est.),1.1,N/A,1700,4.8,N/A,63.4,N/A,22,0.903,82.4,16.5,12.1,35945
89,Kuwait,Kuwait,Middle East and North Africa,90,8,60.8,52.9,43.3,35.3,97.7,17.3,99.1,57.4,61.7,70.6,79,55,60,3,0,15,1.6,52.5,Kuwait,4.4,$291.50 ,-2.5,-0.1,66163,2.1,1.5,300.5,20.6,56,0.803,74.8,13.6,7.3,70524
91,Laos,Laos,Asia-Pacific,110,24,57.4,38.8,42.5,33.5,86.9,85.3,66.5,60.1,60.1,78.5,81.8,35,20,1.6,24,24,12.8,22.1,Lao P.D.R.,6.7,$49.20 ,6.8,7.4,7366,0.7,0.8,813,62.8,139,0.601,67,11.2,5.2,6070
92,Latvia,Latvia,Europe,35,18,70.4,67.3,48.4,35.5,77,57.1,96.9,77.5,73.3,81.1,86,85,60,2,31.4,20,30.2,37.8,Latvia,2,$53.90 ,4.5,2.8,27644,8.7,2.9,721.2,34.8,41,0.847,74.7,15.8,12.8,25002
93,Lebanon,Lebanon,Middle East and North Africa,154,12,51.1,39.5,26.6,18.2,91.8,75.6,0,47.9,46.5,78.1,79,60,50,3,20,15,13.8,28.5,Lebanon,4.5,$87.70 ,1.2,1.5,19439,6.6,4.5,"2,628.00",152.8,80,0.757,79.8,12.5,8.7,13378
94,Lesotho,Lesotho,Sub-Saharan Africa,142,28,53.1,41.5,45.7,30.9,59.4,33,63.5,53.3,58.8,75,81,55,40,2,35,25,47,47.3,Lesotho,1.9,$7.00 ,3.1,2.8,3581,27.3,5.6,135,34.7,159,0.52,54.6,10.6,6.3,3255
95,Liberia,Liberia,Sub-Saharan Africa,160,37,49.7,26.7,39,24.2,82.7,62.1,69.1,50.6,38.3,68.9,60.1,55,20,12.4,25,25,21.8,35.5,Liberia,4.5,$6.10 ,2.5,2.1,1354,2.4,12.4,247.8,34.4,181,0.435,63,10,4.7,667
